specification	source_area	class	requirement_id
cairn/specs/artifact-registry/spec.md	artifact_registry	accepted-implementation-unestablished	molten.artifact_registry.modularity.discovery_non_authority
cairn/specs/artifact-registry/spec.md	artifact_registry	accepted-implementation-unestablished	molten.artifact_registry.modularity.evidence_without_storage
cairn/specs/artifact-registry/spec.md	artifact_registry	accepted-implementation-unestablished	molten.artifact_registry.modularity.layer_ownership
cairn/specs/artifact-registry/spec.md	artifact_registry	accepted-implementation-unestablished	molten.artifact_registry.modularity.tests
cairn/specs/artifact-registry/spec.md	artifacts	accepted-implementation-unestablished	molten.artifacts.local_evidence_ledger.content_table
cairn/specs/artifact-registry/spec.md	artifacts	accepted-implementation-unestablished	molten.artifacts.local_evidence_ledger.import_export
cairn/specs/artifact-registry/spec.md	artifacts	accepted-implementation-unestablished	molten.artifacts.local_evidence_ledger.indexes
cairn/specs/artifact-registry/spec.md	artifacts	accepted-implementation-unestablished	molten.artifacts.local_evidence_ledger.retention_gc
cairn/specs/artifact-registry/spec.md	artifacts	accepted-implementation-unestablished	molten.artifacts.local_evidence_ledger.tests
cairn/specs/artifact-registry/spec.md	artifacts	accepted-implementation-unestablished	molten.artifacts.local_evidence_ledger.validation_receipts
cairn/specs/artifact-registry/spec.md	claim_authority	accepted-implementation-unestablished	molten.claim_authority.readback_non_authority
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.anchor_policy
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.anchor_policy.gc
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.append_receipts
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.append_receipts.idempotent
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.append_receipts.stale
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.control_plane_checkpoints
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.control_plane_checkpoints.descends
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.ledger_index
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.ledger_index.head_requires_content
cairn/specs/artifact-registry/spec.md	evidence	accepted-implementation-unestablished	molten.evidence.chain_hashing.ledger_index.rebuild
cairn/specs/authority-identity-revocation/spec.md	authority	accepted-implementation-unestablished	molten.authority.admission_gate
cairn/specs/authority-identity-revocation/spec.md	authority	accepted-implementation-unestablished	molten.authority.authority_cleanup
cairn/specs/authority-identity-revocation/spec.md	authority	accepted-implementation-unestablished	molten.authority.context_model
cairn/specs/authority-identity-revocation/spec.md	authority	accepted-implementation-unestablished	molten.authority.effect_integration
cairn/specs/authority-identity-revocation/spec.md	authority	accepted-implementation-unestablished	molten.authority.expiry_tests
cairn/specs/authority-identity-revocation/spec.md	authority	accepted-implementation-unestablished	molten.authority.gatekeeper_resolution
